"Order Type:","Order Type:"
"Submitted to Payin7:","Submitted to Payin7:"
"Completed by Customer:","Completed by Customer:"
"Payin7 Order Identifier:","Payin7 Order Identifier:"
"SANDBOX","SANDBOX"
"LIVE","LIVE"
"YES","YES"
"NO","NO"
"Open in Payin7","Open in Payin7"
"Access Denied","Access Denied"
"Invalid params","Invalid params"
"Invalid Order","Invalid Order"
"Operation could not be completed","Operation could not be completed"
"Invalid Request","Invalid Request"
"Payin7 Integration Configuration","Payin7 Integration Configuration"
"PAYIN7 / Pay in 7 days","PAYIN7 / Pay in 7 days"
"PAYIN7 / Finance Payment","PAYIN7 / Finance Payment"
"Finance Payment", "Finance Payment"
"Pay in 7 days", "Pay in 7 days"
"Payin7 Payments","Payin7 Payments"
"Configuration","Configuration"
"API Integration","API Integration"
"Server Hostname","Server Hostname"
"Server Port","Server Port"
"Integration ID","Integration ID"
"API Version","API Version"
"Use secure connection","Use secure connection"
"Sandbox Mode Enabled","Sandbox Mode Enabled"
"Sandbox API Key","Sandbox API Key"
"Production API Key","Production API Key"
"Developer / Advanced","Developer / Advanced"
"Debugging Mode","Debugging Mode"
"Enables extra logging and extra visual tools for debugging (do not enable this on a live website!)","Enables extra logging and extra visual tools for debugging (do not enable this on a live website!)"
"Enabled","Enabled"
"Visible Title","Visible Title"
"Shipping Methods","Shipping Methods"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Sort Order","Sort Order"
"Complete Operation","Complete Operation"
"Payment could not be completed. Please try again later","Payment could not be completed. Please try again later"
"Payin7 Payments final page","Payin7 Payments final page"
"Payin7 Payments order / payment completed page","Payin7 Payments order / payment completed page"
"Your order has been accepted. Thank you!","Your order has been accepted. Thank you!"
"You should receive an email containing details of it in the next minutes.","You should receive an email containing details of it in the next minutes."
"Should you have any questions please use the Contact us page of the store.","Should you have any questions please use the Contact us page of the store."
"More Information","More Information"
"Finalize PAYIN7 Operation","Finalize PAYIN7 Operation"
"This order has not been fully completed yet. Please click on Finalize PAYIN7 Operation to complete it.","This order has not been fully completed yet. Please click on Finalize PAYIN7 Operation to complete it."